original_split,data
train,/imgs/sh/t1/L81_892911_780455.jpg /imgs/sh/t2/L81_892911_780455.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892911_780455.png /building_labels/sh/t1/L81_892911_780455.png /building_labels/sh/t2/L81_892911_780455.png /offset_st_resize256/sh/t1/L81_892911_780455.tif /offset_st_resize256/sh/t2/L81_892911_780455.tif /flow_btv3_resize256/sh/t1VSt2/L81_892911_780455.tif
val,/imgs/sh/t2/L81_892807_780495.jpg /imgs/sh/t3/L81_892807_780495.jpg /labels/sh/t2VSt3/L81_892807_780495.png /building_labels/sh/t2/L81_892807_780495.png /building_labels/sh/t3/L81_892807_780495.png /offset_st_resize256/sh/t2/L81_892807_780495.tif /offset_st_resize256/sh/t3/L81_892807_780495.tif /flow_btv3_resize256/sh/t2VSt3/L81_892807_780495.tif
train,/imgs/bj/t2/L81_00823_784199.jpg /imgs/bj/t3/L81_00823_784199.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00823_784199.png /building_labels/bj/t2/L81_00823_784199.png /building_labels/bj/t3/L81_00823_784199.png /offset_st_resize256/bj/t2/L81_00823_784199.tif /offset_st_resize256/bj/t3/L81_00823_784199.tif /flow_btv3_resize256/bj/t2VSt3/L81_00823_784199.tif
train,/imgs/bj/t1/L81_00711_784191.jpg /imgs/bj/t3/L81_00711_784191.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00711_784191.png /building_labels/bj/t1/L81_00711_784191.png /building_labels/bj/t3/L81_00711_784191.png /offset_st_resize256/bj/t1/L81_00711_784191.tif /offset_st_resize256/bj/t3/L81_00711_784191.tif /flow_btv3_resize256/bj/t1VSt3/L81_00711_784191.tif
train,/imgs/bj/t1/L81_00671_783975.jpg /imgs/bj/t3/L81_00671_783975.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00671_783975.png /building_labels/bj/t1/L81_00671_783975.png /building_labels/bj/t3/L81_00671_783975.png /offset_st_resize256/bj/t1/L81_00671_783975.tif /offset_st_resize256/bj/t3/L81_00671_783975.tif /flow_btv3_resize256/bj/t1VSt3/L81_00671_783975.tif
train,/imgs/sh/t2/L81_892783_780511.jpg /imgs/sh/t3/L81_892783_780511.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892783_780511.png /building_labels/sh/t2/L81_892783_780511.png /building_labels/sh/t3/L81_892783_780511.png /offset_st_resize256/sh/t2/L81_892783_780511.tif /offset_st_resize256/sh/t3/L81_892783_780511.tif /flow_btv3_resize256/sh/t2VSt3/L81_892783_780511.tif
val,/imgs/bj/t1/L81_00711_784199.jpg /imgs/bj/t3/L81_00711_784199.jpg /labels/bj/t1VSt3/L81_00711_784199.png /building_labels/bj/t1/L81_00711_784199.png /building_labels/bj/t3/L81_00711_784199.png /offset_st_resize256/bj/t1/L81_00711_784199.tif /offset_st_resize256/bj/t3/L81_00711_784199.tif /flow_btv3_resize256/bj/t1VSt3/L81_00711_784199.tif
train,/imgs/bj/t1/L81_00679_784303.jpg /imgs/bj/t3/L81_00679_784303.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00679_784303.png /building_labels/bj/t1/L81_00679_784303.png /building_labels/bj/t3/L81_00679_784303.png /offset_st_resize256/bj/t1/L81_00679_784303.tif /offset_st_resize256/bj/t3/L81_00679_784303.tif /flow_btv3_resize256/bj/t1VSt3/L81_00679_784303.tif
train,/imgs/bj/t1/L81_00831_784055.jpg /imgs/bj/t3/L81_00831_784055.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00831_784055.png /building_labels/bj/t1/L81_00831_784055.png /building_labels/bj/t3/L81_00831_784055.png /offset_st_resize256/bj/t1/L81_00831_784055.tif /offset_st_resize256/bj/t3/L81_00831_784055.tif /flow_btv3_resize256/bj/t1VSt3/L81_00831_784055.tif
test,/imgs/bj/t2/L81_00663_783967.jpg /imgs/bj/t3/L81_00663_783967.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00663_783967.png /building_labels/bj/t2/L81_00663_783967.png /building_labels/bj/t3/L81_00663_783967.png
