img_id,original_split
2873,train
2915,train
369,train
1011,train
547,train
1439,train
1877,train
3397,train
3158,train
1490,train
1985,train
1131,train
1907,train
170,train
647,train
2157,train
1999,train
2081,train
238,train
2930,train
2365,train
3765,train
1167,train
1531,train
502,train
3257,train
3667,train
3023,train
31,test
1170,train
2014,train
3147,train
3809,train
2133,train
1461,train
998,train
2847,train
2061,train
3424,train
1900,train
848,train
1352,train
2453,train
3637,train
2272,train
3416,train
1571,train
2433,train
875,train
2830,train
1168,train
3356,train
731,train
141,train
690,train
452,train
722,train
688,train
3758,train
1921,train
2556,train
1317,train
2632,train
13,train
2852,train
3195,train
2566,train
2674,train
2502,train
1462,train
2091,train
1348,train
517,train
1328,train
1896,train
876,train
1572,train
2378,train
2114,train
822,train
404,train
669,train
2605,train
950,train
1938,train
598,train
1274,train
3497,train
1872,train
1115,train
1688,train
208,train
1381,train
2923,train
1552,train
2615,train
103,train
2275,train
439,train
81,train
3046,train
254,train
663,train
2559,train
2437,train
179,train
3557,train
1281,train
643,train
2885,train
1627,train
1205,train
1585,train
2042,train
1568,train
1150,train
3880,train
1285,train
3573,train
1858,train
2643,train
763,train
3791,train
3465,train
2152,train
2322,train
3340,train
754,train
67,train
1053,train
3164,train
3426,train
3246,train
1788,train
463,train
697,train
42,train
1276,train
292,train
1944,train
834,train
174,train
1227,train
861,train
2231,train
2894,train
3543,train
3870,train
1714,train
1266,train
1041,train
1047,train
1700,train
1157,train
45,train
3315,train
3439,train
3735,train
2548,train
229,train
2367,train
1926,train
1211,train
3897,train
3435,train
2442,train
1989,train
1346,train
3771,train
1098,train
3019,train
997,train
1361,train
221,train
715,train
2664,train
315,train
36,test
1965,train
157,train
1887,train
1751,train
3725,train
3438,train
475,train
2524,train
912,train
1596,train
1427,train
182,train
2759,train
49,train
28,train
3593,train
379,train
3895,train
2115,train
1957,train
1480,train
1246,train
472,train
145,train
2100,train
2422,train
26,test
1308,train
3913,train
2333,train
3433,train
940,train
779,train
3917,train
3641,train
3525,train
2230,train
3740,train
868,train
2956,train
2296,train
3196,train
461,train
1296,train
244,train
237,train
3490,train
2434,train
487,train
1602,train
1754,train
1545,train
412,train
934,train
3268,train
3763,train
2856,train
2305,train
499,train
359,train
853,train
991,train
2467,train
3098,train
1258,train
975,train
1597,train
94,train
2773,train
3816,train
3225,train
248,train
3349,train
3322,train
1449,train
2211,train
891,train
1650,train
703,train
3541,train
1693,train
1715,train
883,train
816,train
589,train
2013,train
932,train
393,train
1007,train
1198,train
3327,train
1033,train
3544,train
2692,train
1605,train
1721,train
599,train
3163,train
3734,train
1546,train
2937,train
2268,train
1324,train
1899,train
3329,train
1407,train
108,train
1894,train
914,train
865,train
1111,train
1800,train
1212,train
301,train
3719,train
2681,train
166,train
3684,train
1219,train
1913,train
2189,train
1161,train
1130,train
290,train
2601,train
2890,train
2602,train
1962,train
1376,train
3233,train
2192,train
428,train
2415,train
2430,train
2646,train
1471,train
2709,train
52,train
2933,train
33,test
1776,train
2606,train
2998,train
1203,train
3218,train
3167,train
1576,train
422,train
101,train
1518,train
874,train
1044,train
2842,train
2465,train
509,train
616,train
1815,train
3239,train
2047,train
2919,train
3378,train
2012,train
978,train
1151,train
3565,train
186,train
3807,train
3485,train
3301,train
1833,train
1440,train
765,train
968,train
22,train
1061,train
1382,train
211,train
1202,train
1363,train
3058,train
3157,train
1,test
503,train
3855,train
1367,train
1171,train
2138,train
1179,train
2876,train
3886,train
2205,train
852,train
3750,train
1955,train
1725,train
2891,train
3202,train
45,test
881,train
1730,train
3549,train
907,train
1846,train
2030,train
41,train
3848,train
1747,train
2672,train
58,train
2273,train
2368,train
2668,train
505,train
2259,train
3818,train
1217,train
3297,train
2746,train
266,train
3894,train
724,train
1290,train
3516,train
1857,train
1991,train
212,train
2428,train
3079,train
3454,train
3739,train
3623,train
3587,train
364,train
1240,train
1089,train
1756,train
520,train
3469,train
2515,train
3597,train
938,train
3451,train
2772,train
276,train
2151,train
3817,train
2003,train
2110,train
2943,train
2512,train
2658,train
129,train
286,train
1635,train
1932,train
3820,train
184,train
566,train
