img_id,original_split
train_872,test
train_884,test
train_407,train
train_284,train
train_954,test
train_364,train
train_396,train
train_148,train
train_277,train
train_780,test
train_72,train
train_685,test
train_932,test
train_372,train
train_592,train
train_518,train
train_291,train
train_268,train
train_430,train
train_526,train
train_394,train
train_857,test
train_514,train
train_115,train
train_122,train
train_25,train
train_168,train
train_791,test
train_80,train
train_688,test
train_914,test
train_761,test
train_345,train
train_515,train
train_146,train
train_334,train
train_958,test
train_778,test
train_571,train
train_355,train
train_751,test
train_251,train
train_4,train
train_415,train
train_964,test
train_848,test
train_127,train
train_21,train
train_400,train
train_106,train
train_347,train
train_933,test
train_306,train
train_408,train
train_403,train
train_421,train
train_974,test
train_493,train
train_226,train
train_133,train
train_546,train
train_6,train
train_952,test
train_640,test
train_708,test
train_361,train
train_771,test
train_350,train
train_359,train
train_187,train
train_33,train
train_392,train
train_469,train
train_138,train
train_311,train
train_604,train
train_88,train
train_851,test
train_283,train
train_666,test
train_125,train
train_619,train
train_28,train
train_375,train
train_269,train
train_916,test
train_739,test
train_703,test
train_111,train
train_85,train
train_760,test
train_707,test
train_892,test
train_839,test
train_621,train
train_870,test
train_357,train
train_326,train
train_512,train
train_128,train
train_524,train
train_267,train
train_781,test
train_831,test
train_419,train
train_234,train
train_755,test
train_951,test
train_322,train
train_439,train
train_186,train
train_475,train
train_84,train
train_882,test
train_337,train
train_271,train
train_371,train
train_593,train
train_253,train
train_278,train
train_728,test
train_664,test
train_454,train
train_83,train
train_170,train
train_980,test
train_51,train
train_434,train
train_628,train
train_218,train
train_117,train
train_846,test
train_594,train
train_891,test
train_175,train
train_276,train
train_564,train
train_644,test
train_505,train
train_66,train
train_397,train
train_600,train
train_163,train
train_572,train
train_724,test
train_401,train
train_453,train
train_238,train
train_338,train
train_203,train
train_519,train
train_754,test
train_247,train
train_895,test
train_702,test
train_343,train
train_305,train
train_552,train
train_634,train
train_52,train
train_647,test
train_658,test
train_833,test
train_532,train
train_126,train
train_638,test
train_151,train
train_180,train
train_860,test
train_14,train
train_378,train
train_682,test
train_541,train
train_318,train
train_758,test
train_455,train
train_224,train
train_336,train
train_303,train
train_424,train
train_465,train
train_811,test
train_802,test
train_668,test
train_154,train
train_444,train
train_863,test
train_491,train
train_108,train
train_161,train
train_966,test
train_643,test
train_982,test
train_723,test
train_328,train
train_374,train
train_162,train
train_81,train
train_871,test
train_595,train
train_607,train
train_192,train
train_488,train
train_742,test
train_880,test
train_377,train
train_244,train
train_143,train
train_605,train
train_399,train
train_663,test
train_911,test
train_785,test
train_655,test
train_936,test
train_484,train
train_838,test
train_298,train
train_654,test
train_437,train
train_749,test
train_376,train
train_509,train
train_385,train
train_445,train
train_681,test
train_687,test
train_610,train
train_763,test
train_497,train
train_120,train
train_648,test
train_869,test
train_40,train
train_62,train
train_684,test
train_124,train
train_710,test
train_145,train
train_627,train
train_617,train
train_689,test
train_502,train
train_160,train
train_904,test
train_740,test
train_929,test
train_907,test
train_280,train
train_715,test
train_818,test
train_257,train
train_841,test
train_757,test
train_165,train
train_959,test
train_274,train
train_777,test
train_323,train
train_693,test
