img_id,original_split
909,train
891,train
1726,train
1110,train
1252,train
298,test
578,train
1805,train
3109,train
2108,train
138,train
2889,train
1131,train
1121,train
2594,train
704,train
1557,train
395,train
187,test
1601,train
1679,train
1207,train
913,train
2347,train
12,train
2352,train
2720,train
267,test
423,train
133,train
307,test
1938,train
2514,train
2587,train
1748,train
1768,train
3095,train
1783,train
2872,train
1126,train
1643,train
2243,train
2373,train
103,test
458,train
2074,train
1560,train
2860,train
744,train
1746,train
2453,train
223,test
2440,train
217,test
583,train
2800,train
2067,train
125,test
649,train
1937,train
1587,train
3089,train
901,train
117,test
1330,train
1385,train
305,train
3076,train
2395,train
326,test
2543,train
105,test
2803,train
313,train
1161,train
3044,train
233,train
1047,train
665,train
1325,train
2843,train
2683,train
2224,train
1288,train
16,train
1477,train
87,test
1260,train
1391,train
285,train
654,train
1350,train
1977,train
2273,train
1163,train
603,train
2322,train
2467,train
2841,train
1147,train
359,test
513,train
2093,train
719,train
1982,train
1936,train
101,train
1144,train
29,test
2742,train
59,train
3078,train
2953,train
2560,train
1303,train
431,train
610,train
86,test
1106,train
452,train
934,train
181,test
2447,train
1011,train
1806,train
2937,train
1740,train
1062,train
1952,train
1274,train
433,test
1247,train
371,test
602,train
86,train
121,train
1198,train
2777,train
289,train
3117,train
2960,train
2276,train
3171,train
799,train
1125,train
1849,train
2669,train
384,test
43,test
1192,train
3146,train
1478,train
440,train
252,train
2589,train
1341,train
296,train
238,train
900,train
189,test
2084,train
2324,train
1498,train
479,test
1843,train
2125,train
294,test
2756,train
2897,train
116,test
1588,train
2804,train
1720,train
1906,train
202,test
920,train
89,test
3,test
90,train
119,train
771,train
2708,train
1575,train
2117,train
695,train
1099,train
2335,train
1958,train
2397,train
169,train
1337,train
1053,train
1722,train
213,train
36,train
1954,train
2100,train
698,train
1524,train
2058,train
1008,train
11,test
1779,train
672,train
323,train
2890,train
1138,train
2073,train
1454,train
2196,train
255,train
2286,train
99,train
1429,train
243,train
485,train
1310,train
1469,train
542,train
2936,train
1852,train
2478,train
2099,train
2400,train
338,train
1930,train
1109,train
455,train
248,train
582,train
2403,train
386,test
2838,train
1000,train
537,train
260,train
809,train
2034,train
1495,train
1995,train
2153,train
1195,train
869,train
1295,train
1898,train
2455,train
683,train
2632,train
3134,train
439,test
2309,train
2840,train
2888,train
366,test
1980,train
2126,train
468,test
1071,train
1535,train
2070,train
781,train
1556,train
656,train
470,test
2095,train
1998,train
1747,train
87,train
36,test
2678,train
117,train
747,train
640,train
2069,train
1206,train
126,train
279,train
2912,train
931,train
177,train
271,train
1850,train
528,test
507,test
2929,train
638,train
2775,train
955,train
557,train
1197,train
354,test
2620,train
2344,train
526,test
763,train
134,test
19,train
2156,train
3192,train
2423,train
1787,train
408,train
2430,train
24,train
1997,train
2391,train
1878,train
923,train
2963,train
2700,train
2726,train
2325,train
1905,train
2519,train
950,train
1571,train
875,train
3027,train
1348,train
217,train
3064,train
569,train
361,train
528,train
1614,train
2526,train
1513,train
1086,train
2901,train
993,train
2952,train
3161,train
598,train
430,test
145,train
975,train
2893,train
262,train
160,train
838,train
3037,train
1339,train
1361,train
1030,train
2584,train
1907,train
2361,train
1140,train
2184,train
1661,train
72,test
2043,train
140,train
1294,train
3119,train
3157,train
786,train
483,train
414,test
106,test
54,train
1916,train
2022,train
2852,train
1073,train
1152,train
883,train
110,train
251,train
256,train
523,train
1317,train
501,test
518,train
157,train
1902,train
899,train
517,test
1205,train
2152,train
878,train
2357,train
1826,train
2636,train
3155,train
2159,train
2550,train
841,train
2563,train
1314,train
2456,train
2780,train
1115,train
967,train
2727,train
174,train
690,train
2304,train
1438,train
1933,train
148,train
170,train
685,train
261,train
2520,train
3131,train
2200,train
577,train
2436,train
266,train
680,train
619,train
459,train
2979,train
1609,train
427,test
868,train
2103,train
2847,train
