img_id,original_split
3050,train
4863,train
1919,train
1537,train
3014,train
1088,train
3932,train
1186,train
650,train
958,val
4644,train
4684,train
2672,test
1900,val
1037,train
739,train
3363,train
4155,train
4173,train
53,train
1736,train
4366,train
3355,test
4736,train
2140,train
755,train
4591,train
3766,val
188,train
3802,test
4906,train
4126,val
4982,train
3415,train
327,train
3350,train
1748,train
1108,train
3798,train
632,train
995,train
1134,train
201,train
2979,test
3278,test
2846,train
3255,train
4339,train
250,train
1345,train
1986,train
3515,train
441,test
1276,train
3680,train
2811,train
2292,test
1800,train
4033,train
4169,train
1423,train
4133,train
4265,train
1238,train
2457,train
3273,train
1636,train
4529,train
3152,train
4103,test
2980,train
5007,test
543,train
3132,train
218,test
4375,train
4396,train
4786,train
2486,test
4947,train
3711,train
4612,val
4762,train
1867,val
1255,train
2992,train
2986,train
911,test
2079,train
4830,train
796,train
437,train
4958,train
1540,test
4871,train
4662,train
3276,train
2660,val
2598,train
2918,train
2319,train
904,test
486,train
2965,train
1911,test
4811,test
3172,train
1757,train
2507,train
1802,train
3700,test
4504,train
3846,train
3421,train
4020,train
1013,train
1332,train
4077,train
779,train
885,train
4269,val
4649,val
3916,test
522,train
2629,test
4595,train
2351,test
3201,train
3305,train
4072,train
1582,test
2463,train
3979,train
2904,train
2590,train
3491,val
621,test
1320,train
4699,train
3819,train
820,train
1076,train
1063,test
2063,train
4114,train
2354,train
1654,train
2368,val
1979,train
2508,test
2706,test
2321,val
4530,train
725,train
50,test
2698,train
3410,test
4363,train
4425,train
500,test
1529,test
1642,train
2166,train
2741,val
4745,train
1046,train
3691,test
228,train
2404,train
3018,train
3033,train
4178,train
3056,train
3257,test
5044,train
413,test
1887,test
4163,train
4793,test
1465,train
3736,train
456,train
2413,val
405,train
3012,test
2097,test
4616,test
1626,test
4005,train
4362,train
84,test
1907,train
2502,test
483,train
3307,val
3706,train
4702,train
1518,train
1727,test
4021,train
206,train
869,train
1886,train
212,test
3399,train
2936,train
1151,train
3419,test
3003,train
914,train
230,train
3627,train
1398,train
4621,val
3204,train
2880,train
1976,train
4887,test
2891,train
1760,test
1313,test
2165,train
4061,train
3390,train
3988,train
697,train
1627,train
3801,test
2997,train
412,train
1697,test
827,train
629,train
2784,test
394,train
2868,train
2052,train
1869,train
4238,val
1453,train
