img_id,original_split
0217,train
0287,train
0288,train
0312,train
0692,train
0211,train
0379,train
0136,train
0105,train
0347,train
0255,test
0660,train
0746,train
0538,train
0738,train
0263,train
0093,train
0752,test
0634,train
0689,train
0750,test
0748,train
0361,train
0290,train
0776,train
0165,train
0159,train
0409,train
0624,train
0235,train
0627,train
0084,train
0671,train
0178,test
0519,train
0461,train
0743,test
0757,test
0528,train
0048,test
0406,train
0485,train
0389,train
0311,train
0025,train
0547,train
0172,test
0085,train
0480,test
0640,train
0486,train
0736,train
0189,train
0162,train
0613,test
0527,train
0264,train
0545,train
0626,train
0011,train
0248,train
0092,train
0655,train
0017,train
0063,train
0201,train
0542,train
0336,train
0676,train
0575,train
0171,train
0470,train
0506,train
0780,train
0669,train
0206,train
0441,train
0099,train
0641,test
0539,train
0184,train
0522,train
0075,test
0199,train
0316,train
0220,train
0209,train
0357,train
0087,train
0078,train
0729,train
0291,train
0121,train
0433,train
0651,train
0401,train
0756,train
0394,train
0204,test
0070,test
0490,train
0315,train
0521,train
0310,train
0745,test
0609,train
0202,train
0711,train
0212,test
0110,train
0344,train
0494,train
0124,train
0308,train
0127,train
0039,train
0491,train
0668,train
0583,train
0682,test
0693,train
0635,train
0252,train
0681,train
0650,test
0275,test
0770,train
0282,train
0024,train
0273,train
0351,train
0005,train
0477,test
0426,train
0032,train
0656,train
0429,train
0097,train
0560,train
0062,train
0543,train
0195,train
0298,test
0721,train
0467,train
0113,test
0122,train
0356,train
0143,train
0526,train
0128,train
0208,test
0407,train
0183,train
0051,train
0146,train
0046,test
0504,train
0185,train
0763,train
0018,test
0714,train
0479,train
0256,train
0116,train
0416,test
0030,train
0296,train
0732,train
0410,train
0684,train
0058,train
0783,train
0231,train
0044,train
0047,train
0386,train
0647,train
0385,train
0747,train
0687,train
0621,train
0654,train
0286,train
0448,train
0333,train
0100,train
0620,train
0412,train
0397,train
0454,train
0076,train
0140,train
0737,train
0581,train
0511,train
0019,test
0164,train
0442,train
0749,train
0294,train
0037,train
0225,train
0557,train
0674,train
0677,train
0292,train
0697,test
0067,train
0223,train
0685,train
0493,train
0149,train
0339,train
0190,train
0505,train
0242,train
0371,train
0395,train
0370,train
0380,train
0630,train
0643,train
0628,train
0342,train
0166,train
0450,train
0328,train
0525,train
0086,train
0549,train
0436,train
0690,train
0268,train
0262,train
0061,train
0606,train
0247,train
0301,train
0452,train
0325,train
0191,train
0481,train
0300,train
0253,train
0381,test
0458,train
0348,test
0378,train
0476,train
0382,test
0120,train
0265,train
0744,train
0418,train
0125,train
0028,train
0155,train
0659,train
0332,train
0428,train
0398,train
0708,train
0079,train
0169,train
0036,train
0553,train
0464,train
0500,train
0207,train
0639,test
0237,test
0197,train
0649,train
0279,train
0221,test
0696,test
0004,train
0396,train
0392,train
0372,train
0115,train
0544,train
0192,train
0514,train
0069,train
0055,train
0387,train
0730,test
0443,train
0722,train
0513,train
0150,train
0462,train
0632,train
0350,train
0305,train
0753,train
0466,train
0254,train
0664,train
0249,train
0501,train
0031,train
0142,train
0137,train
0318,train
0411,train
0570,train
0224,train
0285,train
0422,train
0138,train
0459,train
0764,train
0373,train
0170,train
0453,train
0337,train
0261,train
0354,train
0604,train
0631,train
0774,train
0274,train
0364,test
0482,train
0724,train
0236,train
0785,train
0362,train
0484,train
0465,train
0108,train
0114,train
0512,train
0193,train
0509,train
0663,train
0006,train
0773,train
0767,test
0611,train
0106,train
0368,train
0258,train
0107,train
0468,train
0391,train
0245,train
0215,train
0592,train
0408,test
0299,train
0691,train
0733,train
0652,train
0222,train
0240,train
0614,train
0449,train
0740,train
0420,train
0313,train
0306,train
0145,train
0029,train
0045,train
0590,train
0098,train
0483,train
0734,train
0109,test
0688,test
0101,train
0623,test
0280,train
0700,train
0417,train
0095,train
0327,train
0226,train
0180,train
0007,train
0475,train
0009,train
0346,train
0771,train
0196,train
0375,train
0781,train
0520,train
0446,train
0456,train
0148,train
0035,train
0309,train
0050,train
0670,test
0198,train
0068,test
0157,train
0151,train
0307,train
0607,train
0060,train
0330,train
0297,train
0053,train
0112,train
0054,train
0281,train
0104,train
0072,train
0393,train
0266,train
